v1,v2,edge_name,edge_color,travel_seconds
SAN BERNARDO,QUEVEDO,2,#ED1C24,191
QUEVEDO,SAN BERNARDO,2,#ED1C24,191
SEVILLA,SOL,2,#ED1C24,200
SOL,SEVILLA,2,#ED1C24,200
SANTO DOMINGO,NOVICIADO,2,#ED1C24,204
NOVICIADO,SANTO DOMINGO,2,#ED1C24,204
MONCLOA,ARGÜELLES,3,#FFD000,205
MONCLOA,ARGÜELLES,6,#98989B,205
ARGÜELLES,MONCLOA,3,#FFD000,205
ARGÜELLES,MONCLOA,6,#98989B,205
VENTURA RODRIGUEZ,PLAZA DE ESPAÑA,3,#FFD000,209
PLAZA DE ESPAÑA,VENTURA RODRIGUEZ,3,#FFD000,209
SERRANO,VELAZQUEZ,4,#B65518,209
VELAZQUEZ,SERRANO,4,#B65518,209
GOYA,PRINCIPE DE VERGARA,2,#ED1C24,211
PRINCIPE DE VERGARA,GOYA,2,#ED1C24,211
COLON,ALONSO MARTINEZ,4,#B65518,211
ALONSO MARTINEZ,COLON,4,#B65518,211
CALLAO,SOL,3,#FFD000,212
SOL,CALLAO,3,#FFD000,212
OPERA,SANTO DOMINGO,2,#ED1C24,213
BILBAO,SAN BERNARDO,4,#B65518,213
SAN BERNARDO,BILBAO,4,#B65518,213
SANTO DOMINGO,OPERA,2,#ED1C24,213
EMBAJADORES,LAVAPIES,3,#FFD000,214
LAVAPIES,EMBAJADORES,3,#FFD000,214
VENTURA RODRIGUEZ,ARGÜELLES,3,#FFD000,215
CALLAO,GRAN VIA,5,#8FD400,215
ARGÜELLES,VENTURA RODRIGUEZ,3,#FFD000,215
ALONSO MARTINEZ,TRIBUNAL,10,#005AA9,215
GRAN VIA,CALLAO,5,#8FD400,215
TRIBUNAL,ALONSO MARTINEZ,10,#005AA9,215
SEVILLA,BANCO DE ESPAÑA,2,#ED1C24,217
BANCO DE ESPAÑA,SEVILLA,2,#ED1C24,217
LAS MUSAS,ESTADIO OLIMPICO,7,#EE7518,218
PALOS DE LA FRONTERA,DELICIAS,3,#FFD000,218
DELICIAS,PALOS DE LA FRONTERA,3,#FFD000,218
ESTADIO OLIMPICO,LAS MUSAS,7,#EE7518,218
BILBAO,ALONSO MARTINEZ,4,#B65518,220
ALONSO MARTINEZ,BILBAO,4,#B65518,220
OPERA,SOL,2,#ED1C24,221
SOL,OPERA,2,#ED1C24,221
CANAL,ALONSO CANO,7,#EE7518,224
ALONSO CANO,CANAL,7,#EE7518,224
